period,location,state,sector,fuel,generation,totalConsumptionBtu
2024,90,Pacific,Electric Utility,all fuels,217070.10049,1248.15759
2024,90,Pacific,Electric Utility,all renewables,8253.03279,32.41668
2024,90,Pacific,Electric Utility,biomass,419.76479,5.68953
2024,90,Pacific,Electric Utility,coal, excluding waste coal,401.175,7.7158
2024,90,Pacific,Electric Utility,all coal products,482.76122,8.82409
2024,90,Pacific,Electric Utility,distillate fuel oil,1928.68539,20.62239
2024,90,Pacific,Electric Utility,fossil fuels,63903.38005,521.44558
2024,90,Pacific,Electric Utility,geothermal,641.509,2.18883
2024,90,Pacific,Electric Utility,hydro-electric pumped storage,-43.997,0
2024,90,Pacific,Electric Utility,conventional hydroelectric,116678.24465,398.2896
2024,90,Pacific,Electric Utility,landfill gas,62.47574,0.77985
2024,90,Pacific,Electric Utility,lignite coal,334.789,4.56951
2024,90,Pacific,Electric Utility,municiapl landfill gas,62.47574,0.77985
2024,90,Pacific,Electric Utility,natural gas,56997.01765,443.34681
2024,90,Pacific,Electric Utility,natural gas & other gases,56997.01765,443.34681
2024,90,Pacific,Electric Utility,nuclear,28345.974,296.00572
2024,90,Pacific,Electric Utility,biomass,64.94498,0.50676
2024,90,Pacific,Electric Utility,biomass,64.94498,0.50676
2024,90,Pacific,Electric Utility,other gases,0,0
2024,90,Pacific,Electric Utility,other renewables,64.94498,0.50676
2024,90,Pacific,Electric Utility,other,-66.534,0
2024,90,Pacific,Electric Utility,petroleum liquids,6423.60118,69.27467
2024,90,Pacific,Electric Utility,petroleum,6423.60118,69.27467
2024,90,Pacific,Electric Utility,renewable,124931.27744,430.70629
2024,90,Pacific,Electric Utility,residual fuel oil,4006.539,44.59032
2024,90,Pacific,Electric Utility,solar photovoltaic,394.325,1.34546
2024,90,Pacific,Electric Utility,subbituminous coal,66.386,3.1463
2024,90,Pacific,Electric Utility,solar,394.325,1.34546
2024,90,Pacific,Electric Utility,renewable waste products,127.42072,1.28662
2024,90,Pacific,Electric Utility,wind,6797.434,23.19287
2024,90,Pacific,Electric Utility,onshore wind turbine,6797.434,23.19287
2024,90,Pacific,Electric Utility,waste coal,81.58622,1.10829
2024,90,Pacific,Electric Utility,waste oil and other oils,488.37679,4.06196
2024,90,Pacific,Electric Utility,wood and wood wastes,292.34407,4.40291
2024,90,Pacific,IPP Non-CHP,all fuels,143793.08043,766.21209
2024,90,Pacific,IPP Non-CHP,all renewables,91930.77452,360.73975
2024,90,Pacific,IPP Non-CHP,biomass,2930.57541,42.98204
2024,90,Pacific,IPP Non-CHP,coal, excluding waste coal,2824.5656,33.18295
2024,90,Pacific,IPP Non-CHP,all coal products,2824.5656,33.18295
2024,90,Pacific,IPP Non-CHP,distillate fuel oil,7.2644,0.09198
2024,90,Pacific,IPP Non-CHP,fossil fuels,51157.39547,396.67708
2024,90,Pacific,IPP Non-CHP,geothermal,10310.791,35.18041
2024,90,Pacific,IPP Non-CHP,conventional hydroelectric,1974.15903,6.7364
2024,90,Pacific,IPP Non-CHP,landfill gas,1223.06896,14.04561
2024,90,Pacific,IPP Non-CHP,municiapl landfill gas,1306.47065,15.73013
2024,90,Pacific,IPP Non-CHP,biogenic municipal solid waste,83.40169,1.68451
2024,90,Pacific,IPP Non-CHP,natural gas,48298.51641,363.10963
2024,90,Pacific,IPP Non-CHP,natural gas & other gases,48298.51641,363.10963
2024,90,Pacific,IPP Non-CHP,biomass,355.8919,4.83573
2024,90,Pacific,IPP Non-CHP,biomass,439.29359,6.52024
2024,90,Pacific,IPP Non-CHP,other renewables,355.8919,4.83573
2024,90,Pacific,IPP Non-CHP,other,-1269.24859,2.05886
2024,90,Pacific,IPP Non-CHP,petroleum coke,0,0
2024,90,Pacific,IPP Non-CHP,petroleum liquids,34.31346,0.3845
2024,90,Pacific,IPP Non-CHP,petroleum,34.31346,0.3845
2024,90,Pacific,IPP Non-CHP,refined coal,0,0
2024,90,Pacific,IPP Non-CHP,renewable,93904.93355,367.47615
2024,90,Pacific,IPP Non-CHP,solar photovoltaic,48645.96199,165.98002
2024,90,Pacific,IPP Non-CHP,solar thermal,2045.315,21.06675
2024,90,Pacific,IPP Non-CHP,subbituminous coal,2824.5656,33.18295
2024,90,Pacific,IPP Non-CHP,solar,50691.27699,187.04677
2024,90,Pacific,IPP Non-CHP,renewable waste products,1662.36255,20.56585
2024,90,Pacific,IPP Non-CHP,wind,27998.13112,95.53054
2024,90,Pacific,IPP Non-CHP,onshore wind turbine,27998.13112,95.53054
2024,90,Pacific,IPP Non-CHP,waste coal,0,0
2024,90,Pacific,IPP Non-CHP,waste oil and other oils,27.04906,0.29252
2024,90,Pacific,IPP Non-CHP,wood and wood wastes,1268.21286,22.41619
2024,90,Pacific,IPP CHP,all fuels,18327.31575,159.5283
2024,90,Pacific,IPP CHP,all renewables,805.98051,14.71886
2024,90,Pacific,IPP CHP,biomass,798.96756,14.69494
2024,90,Pacific,IPP CHP,bituminous coal and synthetic coal,0,0
2024,90,Pacific,IPP CHP,bituminous coal,0,0
2024,90,Pacific,IPP CHP,coal, excluding waste coal,121.336,2.34286
2024,90,Pacific,IPP CHP,all coal products,121.336,2.34286
2024,90,Pacific,IPP CHP,distillate fuel oil,1.18895,0.04935
2024,90,Pacific,IPP CHP,fossil fuels,17516.66693,144.61482
2024,90,Pacific,IPP CHP,landfill gas,61.14095,0.78518
2024,90,Pacific,IPP CHP,municiapl landfill gas,65.53067,0.94441
2024,90,Pacific,IPP CHP,biogenic municipal solid waste,4.38973,0.15923
2024,90,Pacific,IPP CHP,natural gas,16004.62393,129.5255
2024,90,Pacific,IPP CHP,natural gas & other gases,16004.62393,129.5255
2024,90,Pacific,IPP CHP,biomass,31.08059,0.55814
2024,90,Pacific,IPP CHP,biomass,35.47032,0.71737
2024,90,Pacific,IPP CHP,other renewables,31.08059,0.55814
2024,90,Pacific,IPP CHP,other,4.66831,0.19462
2024,90,Pacific,IPP CHP,petroleum coke,0,0
2024,90,Pacific,IPP CHP,petroleum liquids,1390.707,12.74646
2024,90,Pacific,IPP CHP,petroleum,1390.707,12.74646
2024,90,Pacific,IPP CHP,renewable,805.98051,14.71886
2024,90,Pacific,IPP CHP,residual fuel oil,1389.51805,12.69712
2024,90,Pacific,IPP CHP,solar photovoltaic,7.01295,0.02393
2024,90,Pacific,IPP CHP,subbituminous coal,121.336,2.34286
2024,90,Pacific,IPP CHP,solar,7.01295,0.02393
2024,90,Pacific,IPP CHP,renewable waste products,96.61127,1.50255
2024,90,Pacific,IPP CHP,wood and wood wastes,702.35629,13.19239
2024,90,Pacific,Commercial Non-CHP,all fuels,1204.00297,15.12954
2024,90,Pacific,Commercial Non-CHP,all renewables,702.8442,8.94169
2024,90,Pacific,Commercial Non-CHP,biomass,538.9841,8.3826
2024,90,Pacific,Commercial Non-CHP,distillate fuel oil,11.66304,0.26798
2024,90,Pacific,Commercial Non-CHP,fossil fuels,66.58102,0.9492
2024,90,Pacific,Commercial Non-CHP,hydro-electric pumped storage,0,0
2024,90,Pacific,Commercial Non-CHP,conventional hydroelectric,219.635,0.74939
2024,90,Pacific,Commercial Non-CHP,landfill gas,343.77311,4.49752
2024,90,Pacific,Commercial Non-CHP,municiapl landfill gas,520.88944,8.17067
2024,90,Pacific,Commercial Non-CHP,biogenic municipal solid waste,177.11633,3.67315
2024,90,Pacific,Commercial Non-CHP,natural gas,54.91798,0.68122
2024,90,Pacific,Commercial Non-CHP,natural gas & other gases,54.91798,0.68122
2024,90,Pacific,Commercial Non-CHP,biomass,18.09466,0.21193
2024,90,Pacific,Commercial Non-CHP,biomass,195.21099,3.88508
2024,90,Pacific,Commercial Non-CHP,other renewables,18.09466,0.21193
2024,90,Pacific,Commercial Non-CHP,other,214.94276,4.48925
2024,90,Pacific,Commercial Non-CHP,petroleum liquids,11.66304,0.26798
2024,90,Pacific,Commercial Non-CHP,petroleum,11.66304,0.26798
2024,90,Pacific,Commercial Non-CHP,renewable,922.4792,9.69109
2024,90,Pacific,Commercial Non-CHP,solar photovoltaic,158.1421,0.53959
2024,90,Pacific,Commercial Non-CHP,solar,158.1421,0.53959
2024,90,Pacific,Commercial Non-CHP,renewable waste products,538.9841,8.3826
2024,90,Pacific,Commercial Non-CHP,wind,5.718,0.01951
2024,90,Pacific,Commercial Non-CHP,onshore wind turbine,5.718,0.01951
2024,90,Pacific,Commercial CHP,all fuels,2005.12695,28.62819
2024,90,Pacific,Commercial CHP,all renewables,429.63214,4.51729
2024,90,Pacific,Commercial CHP,biomass,418.90249,4.48068
2024,90,Pacific,Commercial CHP,coal, excluding waste coal,148.23956,4.47103
2024,90,Pacific,Commercial CHP,all coal products,148.23956,4.47103
2024,90,Pacific,Commercial CHP,distillate fuel oil,3.11189,0.10537
2024,90,Pacific,Commercial CHP,fossil fuels,1575.44482,24.11025
2024,90,Pacific,Commercial CHP,conventional hydroelectric,0,0
2024,90,Pacific,Commercial CHP,natural gas,1424.09337,19.53385
2024,90,Pacific,Commercial CHP,natural gas & other gases,1424.09337,19.53385
2024,90,Pacific,Commercial CHP,biomass,418.90249,4.48068
2024,90,Pacific,Commercial CHP,biomass,418.90249,4.48068
2024,90,Pacific,Commercial CHP,other renewables,418.90249,4.48068
2024,90,Pacific,Commercial CHP,other,0.05,0.00064
2024,90,Pacific,Commercial CHP,petroleum liquids,3.11189,0.10537
2024,90,Pacific,Commercial CHP,petroleum,3.11189,0.10537
2024,90,Pacific,Commercial CHP,renewable,429.63214,4.51729
2024,90,Pacific,Commercial CHP,solar photovoltaic,10.72965,0.03661
2024,90,Pacific,Commercial CHP,subbituminous coal,148.23956,4.47103
2024,90,Pacific,Commercial CHP,solar,10.72965,0.03661
2024,90,Pacific,Commercial CHP,renewable waste products,418.90249,4.48068
